trip_id,taxi_id,trip_seconds,trip_miles,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,pickup_community_area,dropoff_community_area,trip_start_timestamp,zip
d834488ed458b01057d8ae21befddf2cd2a1788d,ec56c095d0e5b779d527c06e9551ccb27b04c70e1b8d8efb43307687869ce0412747b884e1012be095f35d5a0a8775c852b7bb4a237eb5d76992fea145bb7ff6,1080,3.2,41.740205756,-87.615969523,41.744199535,-87.586348318,44,45,2023-02-28,60619
be593e3747812304ecc7ba1294980ee7caed90b9,57fa54b44d1e25d82c1de3200158c2475a894490b1c32c4b5356e694a3d15f896fc0ffebb9422cc1875ebd24a578bd9e80d7143e444d36e8ec39f08f19bad982,184,0.42,41.890922026,-87.618868355,41.898331794,-87.620762865,8,8,2023-02-28,60611
ddfa7a078a97e61d6fb0598bf1adab452e8c768e,904222fe7d2f8f53ac179a524c63eebb02300ec21b573d542909496678acb55f1108655fff1b594a9cac029696d320f67e06adc2af6c8f9c4179dcf9d0729554,1269,13.28,41.785998518,-87.750934289,41.89503345,-87.619710672,56,8,2023-02-28,60611
d508255889d9d512126fdd93c32057d22ec08b0b,9e00db075b98e6b900e33ebc47977f154cd3aaae5385b1724343f4b64000e22fa498c9362452638f5a69dc46503c0f78cce5e455a6ee28cc1c0552cbb63b8495,1161,11.57,41.777196255,-87.642497527,41.673819904,-87.635739777,68,53,2023-02-28,60628
3f3d8a5a1a60549253b6345e63b68413680f1ca4,5cfef538e74c1d5c6ec2a94ce6417fc3bcc0fe6dcb1ed25cc949f1b643f169859b98214af505b87fdb504896d507c13a2895f58e3a48edaec2088d6dbfbf98a5,402,1.38,41.884987192,-87.620992913,41.892507781,-87.626214906,32,8,2023-02-28,60611
68f7c168438f69e826f289142f9e513b07e720ae,b77a2dcc078698ea493d4d703014076e4272dc7d8b420e0517a7ad98d347f212120e0bcc215c8e84df2c589171b9590d4aa3352d21e519a35afad2ed1b42841b,1500,17.8,41.97907082,-87.903039661,41.880994471,-87.632746489,76,32,2023-02-28,60603
63a1c7e9a3624338b7cdd638778fe23841b2828d,339c4c0e5d5ad12014ae25364c7082b3e8884bdb5e5fcefb4085170c968eaf736439ac250acd6e34a00b3d958e55766d93bf7ad86e0cb579d4fd87507936a6dd,776,13.24,41.835117986,-87.618677767,41.954027649,-87.763399032,35,15,2023-02-28,60641
5cab427c834ff323590970b5c2363ee8ec1c906f,1d8661cf286a18a5105e132056c2aadf0b81a551e440fe24a277bd7788b745781717403d591c77238dee781850e9d9ca17c5afb07b61cf15569d98ff41caf179,1419,6.45,41.944226601,-87.655998182,42.009622881,-87.670166857,6,1,2023-02-28,60626
d6bc5c88f231883874f703b719766438876ad6f0,1a248eb87ae578f15af2a14c2eb7b4b264f6babab9ad9cc93d655e1f83c3207e62beb1a4b088d75e8077a5421391d32171edacfcb3f6250657f8d3b9f0ebbaec,476,1.56,41.922686284,-87.649488729,41.899602111,-87.633308037,7,8,2023-02-28,60610
acef235e8feaedca8bb55f6c62e7d9966ed32b05,80f7276d946f39f64aedc5891d3c090cf3fe832d2c98254f648db594f66e346af24daadf4524b4dcdf49f0592567013d6574a280547caa7a69ec2ae14aa03b0b,198,0.46,41.892507781,-87.626214906,41.890922026,-87.618868355,8,8,2023-02-28,60611
825762532601d1f7923e9fb4ab4d2d07df13a2ec,e8ebe1fb12cc70947d4031ad2982bd07dee6c4a3b7d381a92b70556f0ced7d2eef3b5b88a5f8e6322f596607e57e23f9241a760dae0ad96d6c6282892ade803e,781,12.19,41.878914496,-87.70589713,41.842076117,-87.633973422,27,34,2023-02-28,60616
829fce3b8d1fd8ecfc83b1d379a0c3c034094782,0ec47f4701f91d7ec5be91fc7b7e4a05e3bf591444ca4fc68aff4cb986b52abd2a7936c0565f3f1ec5d3782a34ec94e8b7afc14896a42497b2814d01f208a608,724,2.61,41.884987192,-87.620992913,41.922082541,-87.634156093,32,7,2023-02-28,60614
81fb61148b660390a428c8378d777ee4d4308e54,c7475fec1fa338d525948b60cc20c8a47905a257c68ef82a4c83aee2604374cf0ced7e33c2322b16c5164c2acf252d76e67812a3d9a0e320c258668b1e8598f8,1320,17.2,41.97907082,-87.903039661,41.879255084,-87.642648998,76,28,2023-02-28,60661
7a53a4af9599229c042fe6f32518a7297cf11112,d0653a3c1a990641559a9e6e7c0e07db3765fe11e48ad750f74a3900b37f0a5f8736c04526e58ae93933b3ae706796e18fee608e47b0565b7b44131a4916948b,360,0.0,41.890922026,-87.618868355,41.879255084,-87.642648998,8,28,2023-02-28,60661
35074ed8299d7bcc64a3caf1df97cb382e20e47e,6dcd43a953f0c1bdfc49fe8260b9504af2cc45eefdfc2266ae6b2e6f977abe8676fd0ce732e377706422d51583eda869a841f93e70d0833eed4705f4bd5e9eb2,231,0.78,41.892072635,-87.628874157,41.877406123,-87.621971652,8,32,2023-02-28,60604
e56508241259f0d4c3c8f4b01b5fc608d5f4e003,6fe3a00b45ce19e32d13df6abf236857b542db5a6bfed7ae16a090dc02f8d93f269f9b2b0b39e919cfad668d506db73a37f0787b1334b335016ccbd44531f626,280,0.0,41.899602111,-87.633308037,41.899602111,-87.633308037,8,8,2023-02-28,60610
e5d8edd2bc2a488ea4724e56d1d1867eb1b0e74d,9fba6769e05fbc6ed6d35fadbe7c4b13907439ba4c06e678e7d85b967ac9d3ac15b26924199492a83d7dfd9e6efa044c683d88971c5807947748a72c0acae60e,1688,15.9,41.980264315,-87.913624596,41.944226601,-87.655998182,76,6,2023-02-28,60657
